user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.113	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	64.53	11	0.99881	N/A
bin.114	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pseudescherichia;s__Pseudescherichia vulneris	GCF_000759795.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pseudescherichia;s__Pseudescherichia vulneris	98.01	0.923	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_039594205.1, s__Pseudescherichia sp039594205, 95.0, 91.67, 0.742; GCF_031998825.1, s__Pseudescherichia sp031998825, 95.0, 91.38, 0.75; GCA_002480085.1, s__Pseudescherichia sp002480085, 95.0, 91.42, 0.748; GCA_032055545.1, s__Pseudescherichia sp032055545, 95.0, 91.25, 0.718; GCF_002918705.1, s__Pseudescherichia sp002918705, 95.0, 92.02, 0.773; GCF_019880405.1, s__Pseudescherichia sp002298805, 95.0, 94.14, 0.845; GCF_031987975.1, s__Pseudescherichia sp031987975, 95.0, 91.06, 0.72; GCF_001888805.2, s__Enterobacter_D sp001888805, 95.0, 83.22, 0.168; GCF_031979925.1, s__Pseudescherichia sp031979925, 95.0, 91.35, 0.744	N/A	N/A	N/A	N/A
bin.116	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Z2-YC6860;s__Z2-YC6860 sp040756555	GCA_040756555.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Z2-YC6860;s__Z2-YC6860 sp040756555	97.94	0.802	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
bin.118	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__Aeromicrobium sp040392565	GCA_040392565.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__Aeromicrobium sp040392565	97.82	0.764	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
bin.119	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Brucella;s__Brucella pseudogrignonensis	GCF_002252525.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Brucella;s__Brucella pseudogrignonensis	98.31	0.911	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_014397025.1, s__Brucella sp014397025, 95.0, 87.61, 0.307; GCF_002278035.1, s__Brucella quorumnocens, 95.0, 84.22, 0.224; GCF_031454375.1, s__Brucella pseudogrignonensis_A, 95.0, 85.48, 0.218; GCF_037479515.1, s__Brucella sp037479515, 95.0, 84.61, 0.22; GCF_003049685.1, s__Brucella pituitosa, 95.0, 85.41, 0.264; GCA_018798825.1, s__Brucella sp018798825, 95.0, 95.07, 0.635; GCF_002252475.1, s__Brucella rhizosphaerae, 95.0, 82.57, 0.166; GCF_002252505.1, s__Brucella grignonensis, 95.0, 84.99, 0.208; GCA_023554105.1, s__Brucella sp023554105, 95.0, 84.95, 0.191; GCF_026241335.1, s__Brucella chromiisoli, 95.0, 84.47, 0.191; GCF_050990715.1, s__Brucella pseudogrignonensis_B, 95.0, 84.64, 0.208	N/A	N/A	N/A	N/A
bin.120	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces anulatus	GCF_014650675.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces anulatus	98.9	0.931	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_040613515.1, s__Streptomyces sp040613515, 95.0, 87.57, 0.242; GCF_002910905.1, s__Streptomyces sp002910905, 95.0, 91.26, 0.453; GCF_900460065.1, s__Streptomyces griseus, 95.0, 92.52, 0.591; GCF_042750035.1, s__Streptomyces sp042750035, 95.0, 87.75, 0.249; GCF_000717645.1, s__Streptomyces californicus, 95.0, 88.57, 0.32; GCF_028622875.1, s__Streptomyces sp002551245, 95.0, 92.49, 0.547; GCF_014648875.1, s__Streptomyces parvus, 95.0, 90.72, 0.464; GCF_014649555.1, s__Streptomyces globisporus, 95.72, 90.35, 0.482; GCF_014649035.1, s__Streptomyces sindenensis, 95.09, 89.75, 0.436; GCF_032121415.1, s__Streptomyces globisporus_A, 95.0, 89.74, 0.436; GCF_030817475.1, s__Streptomyces sp030817475, 95.0, 89.11, 0.343; GCF_046548915.1, s__Streptomyces sp046548915, 95.0, 87.83, 0.236; GCF_044757365.1, s__Streptomyces sp044757365, 95.0, 91.82, 0.564; GCA_040989845.1, s__Streptomyces sp040989845, 96.15, 90.07, 0.471; GCF_018619185.1, s__Streptomyces sp018619185, 95.0, 93.94, 0.628; GCF_040703535.1, s__Streptomyces sp040703535, 95.0, 87.43, 0.235; GCF_009865135.1, s__Streptomyces sp009865135, 95.08, 88.01, 0.28; GCF_003610995.1, s__Streptomyces sp003116725, 95.0, 87.62, 0.258; GCF_042718795.1, s__Streptomyces cyaneofuscatus_A, 95.0, 87.78, 0.274; GCF_041435495.1, s__Streptomyces sp041435495, 95.0, 93.75, 0.655; GCF_040303085.1, s__Streptomyces sp040303085, 95.0, 90.55, 0.403; GCF_031760065.1, s__Streptomyces sp002382885, 95.0, 88.74, 0.319; GCF_016901035.1, s__Streptomyces durocortorensis, 95.0, 90.58, 0.433; GCF_037137275.1, s__Streptomyces pratensis_B, 95.0, 86.77, 0.203; GCF_031845765.1, s__Streptomyces stephensoniae, 95.0, 87.61, 0.244; GCF_028747205.1, s__Streptomyces sp028747205, 95.02, 93.2, 0.583; GCF_000718135.1, s__Streptomyces cyaneofuscatus, 95.0, 87.96, 0.292; GCF_003846185.1, s__Streptomyces sp003846185, 95.0, 85.91, 0.166; GCF_001905595.1, s__Streptomyces sp001905595, 95.0, 87.29, 0.241; GCF_003501885.1, s__Streptomyces globisporus_D, 95.0, 90.29, 0.439; GCF_040701925.1, s__Streptomyces sp040701925, 95.0, 87.55, 0.241; GCF_050942385.1, s__Streptomyces sp050942385, 95.0, 87.71, 0.253; GCF_001687325.1, s__Streptomyces sp001687325, 95.0, 90.55, 0.47; GCF_014650075.1, s__Streptomyces microflavus, 95.0, 88.37, 0.325; GCF_000721175.1, s__Streptomyces anulatus_C, 95.0, 90.91, 0.459; GCF_014649875.1, s__Streptomyces rubiginosohelvolus, 96.27, 90.55, 0.492; GCA_002551355.1, s__Streptomyces sp002551355, 95.0, 90.76, 0.5; GCF_043202835.1, s__Streptomyces sp043202835, 95.0, 90.8, 0.427; GCF_003268675.1, s__Streptomyces bacillaris, 95.0, 86.94, 0.238; GCF_040656515.1, s__Streptomyces sp040656515, 95.0, 87.33, 0.229; GCF_042665405.1, s__Streptomyces caviscabies, 95.0, 90.84, 0.528; GCF_045039835.2, s__Streptomyces sp001905905, 95.0, 88.38, 0.322; GCF_030077645.1, s__Streptomyces pakalii, 96.46, 90.3, 0.466; GCF_044333935.1, s__Streptomyces sp044333935, 95.0, 91.48, 0.536; GCF_040613055.1, s__Streptomyces sp040613055, 95.0, 87.06, 0.24; GCF_018866325.1, s__Streptomyces sp001895105, 95.0, 89.36, 0.373	N/A	N/A	N/A	N/A
bin.121	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_D;g__Herbaspirillum;s__Herbaspirillum huttiense	GCF_039615355.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_D;g__Herbaspirillum;s__Herbaspirillum huttiense	98.43	0.881	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_037076565.1, s__Herbaspirillum sp037076565, 95.0, 90.01, 0.562; GCF_002213415.1, s__Herbaspirillum robiniae, 95.0, 85.42, 0.232; GCA_019233085.1, s__Herbaspirillum sp019233085, 95.0, 87.84, 0.34; GCF_017744395.1, s__Herbaspirillum sp017744395, 95.0, 84.67, 0.222; GCF_028993615.1, s__Herbaspirillum sp028993615, 95.0, 85.65, 0.232; GCF_035644555.1, s__Herbaspirillum sp035644555, 95.0, 87.86, 0.43; GCF_002213425.1, s__Herbaspirillum aquaticum, 95.0, 93.11, 0.704; GCA_016429215.1, s__Herbaspirillum sp016429215, 95.0, 87.32, 0.36; GCF_006715495.1, s__Herbaspirillum sp006715495, 95.0, 84.57, 0.202; GCF_001189955.1, s__Herbaspirillum chlorophenolicum, 95.0, 84.13, 0.15; GCF_047300815.1, s__Herbaspirillum huttiense_A, 95.0, 93.85, 0.722; GCF_017814915.1, s__Herbaspirillum sp017814915, 95.0, 84.95, 0.22; GCF_000261365.1, s__Herbaspirillum sp000261365, 95.0, 90.32, 0.656; GCF_001040945.1, s__Herbaspirillum seropedicae, 95.0, 88.66, 0.43; GCF_044745245.1, s__Herbaspirillum sp044745245, 95.0, 87.07, 0.353; GCF_003719195.1, s__Herbaspirillum rubrisubalbicans, 95.0, 88.03, 0.443; GCF_000300975.2, s__Herbaspirillum frisingense, 95.0, 87.76, 0.41; GCF_015767275.1, s__Herbaspirillum sp013426985, 95.0, 87.81, 0.432; GCA_009914615.1, s__Herbaspirillum frisingense_B, 95.0, 85.16, 0.23	N/A	N/A	N/A	N/A
bin.124	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__JASGDN01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__JASGDN01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	91.18	11	0.98011	N/A
bin.126	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	85.75	11	0.99898	N/A
bin.127	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Haloferula;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Haloferula;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.85	11	0.99527	N/A
bin.131	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	56.59	11	0.9984	N/A
bin.135	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia sp001931755	GCF_001931755.2	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia sp001931755	99.82	0.964	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_964026735.1, s__Wolbachia sp964026735, 95.0, 85.46, 0.237	N/A	N/A	N/A	N/A
bin.137	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium terrae	GCF_008727715.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium terrae	99.5	0.851	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_035944705.1, s__Mesorhizobium sp035944705, 95.0, 82.92, 0.173; GCF_001303895.1, s__Mesorhizobium sp001303895, 95.0, 83.3, 0.193; GCF_004136315.1, s__Mesorhizobium sp004136315, 95.0, 83.14, 0.178; GCF_042701485.1, s__Mesorhizobium sp042701485, 95.0, 83.12, 0.18; GCA_002858745.1, s__Mesorhizobium loti_F, 95.0, 82.98, 0.177	N/A	N/A	N/A	N/A
bin.138	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavihumibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavihumibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.47	11	0.9988	N/A
bin.140	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Terripilifer;s__Terripilifer sp031921685	GCF_031921685.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Terripilifer;s__Terripilifer sp031921685	98.24	0.905	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900104955.1, s__Terripilifer sp900104955, 95.0, 84.56, 0.288; GCA_001898965.1, s__Terripilifer sp001898965, 95.0, 92.0, 0.795	N/A	N/A	N/A	N/A
bin.141	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	GCF_000368045.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	95.65	0.763	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_036666595.1, s__Acinetobacter sp036666595, 95.0, 94.95, 0.741; GCF_002135205.1, s__Acinetobacter sp002135205, 95.0, 89.9, 0.526; GCF_048551975.1, s__Acinetobacter johnsonii_A, 95.0, 94.84, 0.76; GCF_002165305.2, s__Acinetobacter sp002165305, 95.0, 93.81, 0.742	N/A	N/A	N/A	N/A
bin.142	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	66.11	11	0.99842	N/A
bin.146	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium spiritivorum	GCF_000143765.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium spiritivorum	98.33	0.873	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_016724845.1, s__Sphingobacterium spiritivorum_A, 95.0, 94.43, 0.832; GCF_016725325.1, s__Sphingobacterium sp002418355, 95.0, 90.16, 0.689	N/A	N/A	N/A	N/A
bin.147	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_D;g__Rugamonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_D;g__Rugamonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	61.5	11	0.99726	N/A
bin.154	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus fulvus	GCF_900111765.1	95.0	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus fulvus	98.46	0.929	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900106535.1, s__Myxococcus xanthus, 96.9, 83.25, 0.162; GCF_024198215.1, s__Myxococcus qinghaiensis, 95.0, 87.02, 0.417; GCF_010894475.1, s__Myxococcus vastator, 95.0, 84.65, 0.166; GCF_000280925.3, s__Myxococcus hansupus, 95.0, 83.19, 0.164; GCF_024198175.1, s__Myxococcus xibeiensis, 95.0, 84.07, 0.174; GCA_049194865.1, s__Myxococcus terminator_A, 95.0, 86.95, 0.391; GCF_000331735.1, s__Myxococcus stipitatus, 95.0, 85.81, 0.331; GCF_026626705.1, s__Myxococcus sp026626705, 95.0, 83.55, 0.168; GCF_006402735.1, s__Myxococcus xanthus_A, 95.0, 83.29, 0.17; GCF_002305895.1, s__Myxococcus macrosporus, 95.0, 83.49, 0.19; GCF_900101905.1, s__Myxococcus virescens, 96.84, 83.49, 0.17; GCF_010894405.1, s__Myxococcus caerfyrddinensis, 95.0, 83.61, 0.176; GCF_013116825.1, s__Myxococcus xanthus_B, 96.08, 83.63, 0.169; GCF_038561935.1, s__Myxococcus stipitatus_C, 95.0, 86.05, 0.347; GCF_020037125.1, s__Myxococcus sp020037125, 95.0, 83.91, 0.172; GCA_046520405.1, s__Myxococcus sp046520405, 95.0, 84.21, 0.162; GCA_023426545.1, s__Myxococcus sp023426545, 95.0, 83.66, 0.177; GCF_010894455.1, s__Myxococcus eversor, 95.0, 86.94, 0.391; GCF_010894435.1, s__Myxococcus trucidator, 95.0, 83.42, 0.172; GCA_014656495.1, s__Myxococcus sp014656495, 95.0, 83.37, 0.178; GCF_024198255.1, s__Myxococcus guangdongensis, 95.0, 94.56, 0.789; GCF_024198235.1, s__Myxococcus dinghuensis, 95.0, 85.46, 0.296; GCF_010998615.1, s__Myxococcus sp010998615, 96.39, 83.62, 0.168; GCF_037414475.1, s__Myxococcus stipitatus_B, 95.0, 85.45, 0.33; GCF_012933655.1, s__Myxococcus fallax, 95.0, 83.94, 0.169; GCF_006636215.1, s__Myxococcus llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogochensis, 95.0, 87.17, 0.39; GCF_017301635.1, s__Myxococcus landrumensis, 95.0, 85.91, 0.333; GCF_021412625.1, s__Myxococcus stipitatus_A, 95.0, 85.12, 0.292; GCF_050038885.1, s__Myxococcus flavus, 95.0, 83.36, 0.178; GCF_017301735.1, s__Myxococcus parkwayensis, 95.0, 83.62, 0.163	N/A	N/A	N/A	N/A
bin.155	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	82.06	11	0.98778	N/A
bin.156	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	81.86	11	0.98744	N/A
bin.157	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium_M;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium_M;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	48.2	11	0.98751	N/A
bin.159	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas aurantiaca	GCF_014199955.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas aurantiaca	97.28	0.817	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_013912065.1, s__Brevundimonas sp013912065, 95.0, 88.33, 0.284; GCF_001422455.1, s__Brevundimonas sp001422455, 95.0, 87.16, 0.171; GCF_014218725.1, s__Brevundimonas huaxiensis, 95.23, 86.74, 0.19; GCF_026105875.2, s__Brevundimonas sp026105875, 95.04, 87.21, 0.187; GCF_001592205.1, s__Brevundimonas vesicularis, 95.0, 87.02, 0.182; GCF_965279155.1, s__Brevundimonas sp965279155, 95.0, 86.91, 0.201; GCF_026625805.1, s__Brevundimonas sp026625805, 95.0, 89.03, 0.308; GCF_044336875.1, s__Brevundimonas sp044336875, 95.0, 87.9, 0.265; GCA_016429195.1, s__Brevundimonas sp016429195, 95.0, 87.08, 0.163; GCF_030656255.1, s__Brevundimonas sp030656255, 95.0, 88.94, 0.303; GCF_902506205.1, s__Brevundimonas sp902506205, 95.0, 87.19, 0.197; GCF_003248965.1, s__Brevundimonas sp003248965, 95.0, 86.72, 0.188; GCF_011064825.1, s__Brevundimonas mediterranea_A, 95.0, 89.53, 0.353; GCF_023503965.1, s__Brevundimonas albigilva, 95.0, 87.55, 0.16; GCF_022654015.1, s__Brevundimonas diminuta_C, 95.0, 87.19, 0.187; GCF_965262535.1, s__Brevundimonas sp002434505, 95.0, 86.78, 0.196; GCA_963515305.1, s__Brevundimonas sp963515305, 95.0, 86.74, 0.194; GCF_027105095.1, s__Brevundimonas vesicularis_E, 95.0, 86.42, 0.171; GCF_003248455.1, s__Brevundimonas sp003248455, 95.0, 86.8, 0.179; GCF_017086445.1, s__Brevundimonas fontaquae, 95.0, 86.92, 0.189; GCF_023147505.1, s__Brevundimonas sp002484265, 95.0, 86.97, 0.174; GCF_039674565.1, s__Brevundimonas intermedia_B, 95.0, 87.39, 0.216; GCF_044807075.1, s__Brevundimonas vesicularis_G, 95.0, 86.26, 0.174; GCF_049897645.1, s__Brevundimonas sp049897645, 95.0, 87.48, 0.204; GCF_002157625.1, s__Brevundimonas sp002157625, 95.0, 87.14, 0.192; GCF_014196125.1, s__Brevundimonas mediterranea, 95.0, 89.41, 0.345; GCA_001796045.1, s__Brevundimonas sp001796045, 95.0, 89.89, 0.302; GCF_005484585.1, s__Brevundimonas sp005484585, 95.0, 86.77, 0.178; GCF_900445985.1, s__Brevundimonas vesicularis_D, 95.0, 87.58, 0.193; GCF_046295075.1, s__Brevundimonas sp046295075, 95.0, 87.25, 0.205; GCF_030818545.1, s__Brevundimonas sp030818545, 95.0, 86.76, 0.18; GCF_004614235.1, s__Brevundimonas intermedia_A, 95.0, 87.14, 0.219; GCF_032067225.1, s__Brevundimonas vesicularis_F, 95.0, 86.72, 0.165; GCA_029202665.1, s__Brevundimonas colombiensis, 95.0, 86.79, 0.175; GCF_032017145.1, s__Brevundimonas sp032017145, 95.0, 87.16, 0.188; GCF_041892135.1, s__Brevundimonas intermedia, 95.0, 89.32, 0.348; GCF_014204545.1, s__Brevundimonas vesicularis_B, 95.0, 86.84, 0.172; GCA_046314055.1, s__Brevundimonas sp046314055, 95.0, 87.85, 0.213; GCF_027886425.1, s__Brevundimonas vesicularis_C, 95.0, 86.76, 0.169; GCA_000335735.1, s__Brevundimonas sp000335735, 95.0, 87.14, 0.188; GCF_041648115.1, s__Brevundimonas sp041648115, 95.0, 86.57, 0.191; GCF_049896085.1, s__Brevundimonas sp049896085, 95.0, 87.2, 0.208	N/A	N/A	N/A	N/A
bin.16	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides sp030929495	GCF_030929495.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides sp030929495	99.09	0.938	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_016803235.1, s__Nocardioides simplex_A, 95.0, 88.58, 0.183; GCF_900114845.1, s__Nocardioides simplex, 95.0, 88.15, 0.156; GCF_029961765.1, s__Nocardioides sp006715725, 95.0, 88.16, 0.182; GCF_013409625.1, s__Nocardioides kongjuensis, 95.0, 88.19, 0.165; GCF_029961745.1, s__Nocardioides sp029961745, 95.0, 91.52, 0.515; GCF_024614185.1, s__Nocardioides carbamazepini, 95.0, 90.64, 0.47; GCF_016907515.1, s__Nocardioides nitrophenolicus, 95.0, 88.54, 0.184; GCF_006494775.1, s__Nocardioides humi, 95.0, 88.26, 0.188; GCF_019192965.1, s__Nocardioides daeguensis, 95.0, 87.94, 0.154; GCF_051390595.1, s__Nocardioides sp051390595, 95.0, 89.39, 0.38	N/A	N/A	N/A	N/A
bin.160	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium natoriense	GCF_039527915.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium natoriense	97.44	0.89	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_011752045.1, s__Microbacterium sp001639925, 95.0, 83.87, 0.169; GCF_050990745.1, s__Microbacterium hydrocarbonoxydans_A, 95.0, 83.48, 0.161; GCA_017744855.1, s__Microbacterium sp017744855, 95.0, 84.23, 0.152; GCA_040395495.1, s__Microbacterium hydrocarbonoxydans_D, 95.0, 84.2, 0.216; GCF_030816295.1, s__Microbacterium natoriense_A, 95.0, 83.93, 0.182	N/A	N/A	N/A	N/A
bin.162	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	GCF_000829035.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	98.7	0.889	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
